date,num_examples,dataset_version
2025-02-24,240614,3119dab4421582ca586c70d55cd4391cbc537406
2025-03-07,484146,c4544c93a2d0404821c00ef5bfa103f5d3193526
2025-03-12,524103,4024ed13e74bd65ba257f4306ccea0f517168878
2025-04-01,532883,dd73ceaae5c6776056b091c5f33f3441649a2805
2025-04-17,537873,517c986c06bf4ba32d6c12c90faa96d7afcaa625
2025-04-30,540156,3576a33c203ecf8ca1ba50d1d0a59100a10e0c53
2025-05-12,543211,951ac1b179245c0bf6a261f444302015ae50fc1c
2025-05-30,547811,fea78c1e42f4bb8a948951da349e7bb7f1424972
2025-06-25,553735,19b9b16bae4cc7489ba7cb0a945f7908893a86fa
2025-07-25,562497,84c6724ba0dfaaec2604cc7ced6f7f5d4094e35c
2025-09-23,577392,1fc15c8e410166f6fd37bc39ea15adb2e415aa11
2025-10-06,580426,dbced18ee8a27a498e71e307c93ce44436d1b951
2025-11-19,591321,cbb05f48e20e2186a80284de138cafee56b6544c
2025-12-05,577872,2135755d8f42902de065d1ca30d800820b1e5cf1
